88;Vertigo;1958;English;82;A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.;2h 8m;MYSTERY,ROMANCE,THRILLER
89;It's a Wonderful Life;1946;English;82;A holiday favourite for generations... George Bailey has spent his entire life giving to the people of Bedford Falls. All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company. But on Christmas Eve the business's $8,000 is lost and George's troubles begin.;2h 10m;DRAMA,FAMILY,FANTASY
90;Love, Simon;2018;English;82;Everyone deserves a great love story. But for seventeen-year old Simon Spier it's a little more complicated: he's yet to tell his family or friends he's gay and he doesn't know the identity of the anonymous classmate he's fallen for online.;1h 50m;COMEDY,DRAMA,ROMANCE
91;Piper;2016;English;82;A mother bird tries to teach her little one how to find food by herself. In the process, she encounters a traumatic experience that she must overcome in order to survive.;0h 6m;FAMILY,ANIMATION
92;Wolf Children;2012;Japanese;82;After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.;1h 57m;ANIMATION,DRAMA,FAMILY,FANTASY
93;Metropolis;1927;German;82;In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.;2h 33m;DRAMA,SCIENCE FICTION
94;The Usual Suspects;1995;English;82;Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.;1h 46m;DRAMA,CRIME,THRILLER
95;Apocalypse Now;1979;English;82;At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, "does not exist, nor will it ever exist." His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.;2h 27m;DRAMA,WAR
96;Oldboy;2003;Korean;82;With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.;2h 0m;DRAMA,THRILLER,MYSTERY,ACTION
97;The Lion King;1994;English;82;A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.;1h 29m;FAMILY,ANIMATION,DRAMA
98;Bicycle Thieves;1948;Italian;82;Antonio, an unemployed man in the depressed post-WWII economy of Italy, at last finds a good job hanging up posters, the only requirement for which is that he must have his own bicycle. When Antonio’s bicycle is stolen, he and his son are forced to walk the streets of Rome in search of it, or else face ruin.;1h 29m;DRAMA
99;8½;1963;Italian;82;With 8½ Frederico Fellini leaves a self-portrait where dreams and reality are a mix. With help from a most excellent cast and unique scenery this self reflecting film is one of his master works.;2h 19m;FANTASY,DRAMA
100;All About Eve;1950;English;82;From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.;2h 19m;DRAMA
